地区全称,地区简称,经度,纬度,地区拼音
湖北省,湖北,114.35,30.62,HuBei
广东省,广东,113.25,23.13,GuangDong
浙江省,浙江,120.15,30.23,Zhejiang
河南省,河南,113.7,34.8,HeNan
湖南省,湖南,113,28.18,HuNan
安徽省,安徽,117.3,31.85,AnHui
江西省,江西,115.87,28.68,JiangXi
江苏省,江苏,118.83,32.03,JiangSu
重庆市,重庆,106.53,29.53,ChongQing
山东省,山东,117,36.63,ShanDong
四川省,四川,104.08,30.65,SiChuan
北京市,北京,116.47,39.9,BeiJing
黑龙江省,黑龙江,126.68,45.75,HeiLongJiang
上海市,上海,121.48,31.23,ShangHai
福建省,福建,119.3,26.08,FuJian
河北省,河北,114.47,38.03,HeBei
陕西省,陕西,108.9,34.27,ShaanXi
广西壮族自治区,广西,108.33,22.8,GuangXi
云南省,云南,102.68,25,YunNan
海南省,海南,110.33,20.03,HaiNan
山西省,山西,112.57,37.87,ShanXi
贵州省,贵州,106.7,26.58,GuiZhou
辽宁省,辽宁,123.4,41.83,LiaoNing
天津市,天津,117.18,39.15,TianJin
甘肃省,甘肃,103.82,36.05,GanSu
吉林省,吉林,125.32,43.87,JiLin
内蒙古自治区,内蒙古,111.8,40.82,NeiMengGu
宁夏回族自治区,宁夏,106.27,38.33,NingXia
新疆维吾尔自治区,新疆,87.6,43.8,XinJiang
香港特别行政区,香港,114.2,22.26,XiangGang
台湾省,台湾,121.52,25.05,TaiWan
青海省,青海,101.75,36.63,QingHai
澳门特别行政区,澳门,113.57,22.15,AoMen
西藏自治区,西藏,91.17,29.67,XiZang
